text,label
Hey are you free for lunch tomorrow?,0
Congratulations! You have won a $1000 gift card. Click here to claim now!,1
Can you send me the meeting notes from today?,0
URGENT: Your account will be suspended. Verify your identity immediately.,1
I'll pick up the kids from school today,0
FREE entry to our exclusive prize draw! Text WIN to 80085,1
Did you see the game last night? What a finish!,0
You have been selected for a secret shopper opportunity. Reply YES to start.,1
Running late, will be there in 10 minutes,0
Act now! Limited time offer - 90% off designer watches,1
Thanks for helping me move last weekend,0
WINNER!! You've been selected to receive a free cruise vacation,1
Can we reschedule our meeting to Thursday?,0
Your mobile number has been awarded $5000 in our weekly draw,1
Happy birthday! Hope you have a wonderful day,0
Earn $5000 per week working from home! No experience needed,1
The report is ready for your review,0
ALERT: Unusual activity detected on your bank account. Call this number now.,1
Let me know when you get home safe,0
You qualify for a government grant of $10000. Apply today!,1
Great presentation today. The client loved it.,0
Lose 20 pounds in just 2 weeks with this miracle pill!,1
Should we order pizza or Chinese food tonight?,0
Cheap prescription medications delivered to your door. No prescription needed!,1
The dentist appointment is confirmed for next Tuesday at 3pm,0
Hot singles in your area want to meet you tonight!,1
I found that book you were looking for at the library,0
Investment opportunity: guaranteed 500% returns in 30 days,1
Mom called and wants to know if we're coming for Thanksgiving,0
You have 24 hours to claim your prize or it will be forfeited,1
Just finished reading that article you shared. Really insightful!,0
Make money fast with our proven online system. Start earning today!,1
The weather looks nice this weekend. Want to go hiking?,0
Your loan has been approved for $50000. No credit check required!,1
Please water the plants while I'm away this week,0
Congratulations! You are our lucky winner. Forward this to 10 friends to claim.,1
Have you tried that new restaurant downtown? The reviews are great,0
URGENT NOTICE: Your tax refund of $3800 is pending. Provide your SSN to process.,1
I'll bring the salad to the potluck on Saturday,0
Exclusive deal just for you! Buy one get three free on all products,1
The kids had a great time at the science museum today,0
WARNING: Your computer has been infected with a virus. Download our software now!,1
Can you pick up milk and eggs on your way home?,0
Double your income with this one simple trick that banks hate!,1
The flight lands at 6:45 PM. I'll text you when we arrive.,0
You've been specially chosen for our VIP discount club. Membership is only $9.99!,1
Let's catch up over coffee this weekend. It's been too long!,0
FINAL WARNING: Pay your outstanding balance of $299 or face legal action,1
Thank you for the lovely dinner party last night,0
Claim your free iPhone 15 now! Only 100 remaining. Act fast!,1
I attached the photos from our trip. Let me know which ones you like!,0
Your PayPal account has been compromised. Click here to secure it immediately.,1
Just wanted to check in and see how you're doing,0
Secret formula reveals how to make $10000 in one day. Limited spots available!,1
The soccer game is at 4pm. Don't forget to bring water bottles.,0
You've won a brand new car! Call now to arrange delivery,1
I left my jacket at your place. Can I grab it this week?,0
Amazing weight loss results! Celebrities use this one weird trick,1
Good luck on your exam tomorrow. You've got this!,0
Your subscription is about to expire. Renew now for a special 80% discount!,1
The plumber is coming between 9 and 11 tomorrow morning,0
Become a millionaire overnight! Join our exclusive trading group now,1
Thanks for the ride to the airport. Really appreciate it!,0
CONGRATULATIONS! You have been selected to win a luxury vacation package,1
Don't forget we have dinner reservations at 7:30 tonight,0
Work from home and earn $3000 weekly. No skills required. Start now!,1
The garden is looking beautiful this spring. Your roses are blooming!,0
Cheap replica watches at unbeatable prices! Order now and save 95%!,1
I sent the documents to your email. Please review before Monday,0
ALERT: We detected suspicious login attempts on your account. Reset password now!,1
How was your first day at the new job? Tell me everything!,0
Last chance to claim your $2500 grocery voucher. Expires at midnight!,1
The book club meets next Wednesday. We're reading the new novel by Chen.,0
Shocking secret the government doesn't want you to know! Click to reveal,1
Please remember to lock the door when you leave,0
FREE! FREE! FREE! Unlimited data plan for just $1 per month!,1
I'm so proud of you for finishing the marathon!,0
Nigerian prince needs your help transferring $10 million. You keep 30%.,1
Can you feed the cat while I'm on vacation next week?,0
You've been pre-approved for a platinum credit card with $25000 limit!,1
The sunset was absolutely gorgeous tonight. Wish you were here,0
Time-sensitive: Your unclaimed lottery winnings of $750000 will expire soon,1
I made cookies for the office. Help yourself to some!,0
Congratulations on your engagement! So happy for you both,0
Hey, just saw your missed call. Everything okay?,0
Reminder: team standup is at 9:30 AM tomorrow,0
Your package has been delivered to the front porch,0
Get rich quick with cryptocurrency! Invest $100 and make $10000,1
Buy cheap pharmaceuticals online without a prescription. Discreet shipping!,1
URGENT: Wire transfer needed immediately. Reply with bank details,1
You won our sweepstakes! Send personal details to claim your $50000 prize,1
Act before midnight! This deal won't last. 99% off everything!,1
